customer_id,customer_name,email,registration_date,customer_type
CUST-0001,Allison Hill,donaldgarcia@example.net,2026-02-25,REGULAR
CUST-0002,Javier Johnson,jesseguzman@example.net,2024-02-16,REGULAR
CUST-0003,Kimberly Robinson,lisa02@example.net,2024-10-12,VIP
CUST-0004,Daniel Gallagher,daviscolin@example.com,2025-04-23,VIP
CUST-0005,Monica Herrera,smiller@example.net,2025-05-09,REGULAR
CUST-0006,Laura Bush,stanleykendra@example.org,2026-01-16,REGULAR
CUST-0007,Jamie Chavez,francisco53@example.net,2024-04-29,REGULAR
CUST-0008,Maria Lynch,amandasanchez@example.com,2024-08-27,VIP
CUST-0009,Margaret Hawkins Dds,perezantonio@example.com,2024-09-19,REGULAR
CUST-0010,Thomas Bradley,jason76@example.net,2024-11-20,VIP
CUST-0011,David Hoffman,julie69@example.com,2024-08-08,REGULAR
CUST-0012,Brenda Snyder Phd,hernandezernest@example.net,2024-10-12,PREMIUM
CUST-0013,James Ferrell,tasha01@example.net,2026-02-17,REGULAR
CUST-0014,Patricia Peterson,ryan70@example.net,2026-02-07,REGULAR
CUST-0015,Jonathan White,harrellkenneth@example.net,2025-01-11,PREMIUM
CUST-0016,James Martin,georgetracy@example.org,2026-04-05,REGULAR
CUST-0017,Sandra Parker,allenashley@example.org,2023-10-19,PREMIUM
CUST-0018,Mr. Philip Cannon,donnaarroyo@example.org,2024-04-27,PREMIUM
CUST-0019,Jenny Lewis,jenniferross@example.net,2025-06-11,PREMIUM
CUST-0020,Joseph Martinez,calebsmith@example.net,2024-03-21,REGULAR
CUST-0021,Benjamin Welch,carlosjohnson@example.com,2023-10-03,VIP
CUST-0022,Michael Lewis,jenniferkhan@example.net,2024-12-04,PREMIUM
CUST-0023,Rhonda Lee,hopkinsmichael@example.com,2024-11-28,PREMIUM
CUST-0024,Megan Joyce,brownjessica@example.org,2024-04-10,VIP
CUST-0025,Jerry Henderson,steven17@example.net,2023-11-01,PREMIUM
CUST-0026,Kimberly Smith,housemelinda@example.org,2024-09-25,VIP
CUST-0027,Dr. Steven Martin,gallowayjoseph@example.com,2024-05-19,VIP
CUST-0028,Monica Logan,smoore@example.org,2026-05-17,PREMIUM
CUST-0029,Kimberly Adkins,williamsthomas@example.net,2024-01-03,REGULAR
CUST-0030,Angela Lopez,leonardjoe@example.org,2026-04-18,PREMIUM
CUST-0031,Lauren Williams,barnesbrandy@example.net,2024-06-21,VIP
CUST-0032,Michael Edwards,randy47@example.com,2026-04-05,REGULAR
CUST-0033,Alexandra Howell,jonesjason@example.com,2023-12-08,REGULAR
CUST-0034,Benjamin Sanchez,eric84@example.net,2026-06-02,VIP
CUST-0035,Kendra Contreras,sarah12@example.com,2023-11-20,VIP
CUST-0036,Juan Nelson,jenniferharris@example.net,2026-01-14,VIP
CUST-0037,Danielle Odonnell,davisrodney@example.com,2023-09-04,VIP
CUST-0038,Carlos Whitney,joycearnold@example.com,2025-03-08,PREMIUM
CUST-0039,Tony Vazquez,amydavenport@example.net,2025-02-27,VIP
CUST-0040,Andrew Diaz,nolanjason@example.org,2025-06-29,REGULAR
CUST-0041,Justin Baxter,sarayoung@example.org,2026-05-25,REGULAR
CUST-0042,Sierra Johnson,kimberly63@example.com,2024-01-05,REGULAR
CUST-0043,Janet Williams,dwalker@example.com,2024-06-09,PREMIUM
CUST-0044,Crystal Johnson,raymondramirez@example.org,2026-05-15,REGULAR
CUST-0045,Martin Ross,sheila14@example.org,2025-03-29,VIP
CUST-0046,Mrs. Linda Reed,samuel81@example.com,2026-03-04,PREMIUM
CUST-0047,Andrew Graham,michaeljones@example.net,2026-03-27,PREMIUM
